Position,Name,Fantasy Points,Salary,Away,Home,Score,Minutes,Stats,Site,ID,Date,First Name,Last Name
PF,"Kurucs, Rodions",15,"$3,500",bkn,v nyk,107-105,17:19,11pt 5rb 2to 1trey 3-8fg 4-4ft,fd,5735x,2018-10-19,Rodions,Kurucs
PF,"Zizic, Ante",14.2,"$3,500",cle,@ min,123-131,10:51,7pt 1rb 2as 1st 2-3fg 3-4ft,fd,5119x,2018-10-19,Ante,Zizic
SF,"Miller, Darius",13.2,"$3,500",nor,v sac,149-129,22:45,10pt 1rb 2as 1to 3trey 3-7fg 1-1ft,fd,4484x,2018-10-19,Darius,Miller
PF,"Favors, Derrick^",13,"$6,100",uta,v gsw,123-124,20:58,5pt 5rb 2st 4to 2-5fg 1-2ft,fd,4280x,2018-10-19,Derrick,Favors
PF,"Morris, Marcus",12.9,"$4,500",bos,@ tor,101-113,25:45,8pt 2rb 1as 1bl 2to 2trey 3-7fg,fd,4407x,2018-10-19,Marcus,Morris
SF,"Anunoby, OG",12.8,"$3,900",tor,v bos,113-101,21:18,9pt 4rb 1to 1trey 4-6fg,fd,5241x,2018-10-19,OG,Anunoby
PF,"Vonleh, Noah",12.2,"$4,000",nyk,@ bkn,105-107,11:27,2pt 6rb 1bl 0-2fg 2-2ft,fd,4761x,2018-10-19,Noah,Vonleh
PF,"Williams, Marvin^",11.8,"$4,900",cha,@ orl,120-88,20:29,8pt 4rb 1to 2trey 3-7fg,fd,3817x,2018-10-19,Marvin,Williams
PF,"Ilyasova, Ersan",11.6,"$4,500",mil,v ind,118-101,23:43,3pt 3rb 1st 1bl 1to 1trey 1-3fg,fd,3765x,2018-10-19,Ersan,Ilyasova
PF,"Giles, Harry",11.3,"$3,500",sac,@ nor,129-149,18:40,7pt 4rb 1as 2to 3-11fg 1-4ft,fd,5167x,2018-10-19,Harry,Giles
PF,"Harrell, Montrezl",11.3,"$4,600",lac,v okc,108-92,13:04,3pt 4rb 1as 2bl 4to 0-1fg 3-4ft,fd,4857x,2018-10-19,Montrezl,Harrell
SF,"Simmons, Jonathon",11.1,"$4,800",orl,v cha,88-120,22:41,7pt 3rb 1as 1to 1trey 3-9fg,fd,4890x,2018-10-19,Jonathon,Simmons
PF,"Siakam, Pascal^",11,"$5,000",tor,v bos,113-101,17:36,4pt 5rb 2as 2to 2-6fg,fd,4929x,2018-10-19,Pascal,Siakam
PF,"Looney, Kevon",10.9,"$4,100",gsw,@ uta,124-123,18:36,4pt 2rb 1as 1st 2-3fg,fd,4820x,2018-10-19,Kevon,Looney
PF,"Patterson, Patrick^",10.4,"$3,600",okc,@ lac,92-108,19:27,5pt 2rb 1bl 1trey 2-4fg,fd,4302x,2018-10-19,Patrick,Patterson
SF,"Jackson, Justin",10.3,"$4,200",sac,@ nor,129-149,21:22,2pt 4rb 1as 1st 1to 1-6fg,fd,5135x,2018-10-19,Justin,Jackson
PF,"Martin, Jarell",9.9,"$3,700",orl,v cha,88-120,12:00,6pt 2rb 1as 3-4fg,fd,4850x,2018-10-19,Jarell,Martin
SF,"Dekker, Sam",9.7,"$3,500",cle,@ min,123-131,8:54,5pt 1rb 1as 1st 1to 1trey 1-3fg 2-2ft,fd,4856x,2018-10-19,Sam,Dekker
PF,"Young, Thaddeus^",9.2,"$5,100",ind,@ mil,101-118,26:56,7pt 1rb 1st 2to 3-5fg 1-2ft,fd,4037x,2018-10-19,Thaddeus,Young
SF,"Isaac, Jonathan^",9,"$5,200",orl,v cha,88-120,14:25,2pt 5rb 1st 2to 1-3fg,fd,5137x,2018-10-19,Jonathan,Isaac
SF,"Powell, Norman",8.9,"$3,500",tor,v bos,113-101,10:27,2pt 2rb 1as 1st 1-5fg,fd,4792x,2018-10-19,Norman,Powell
SF,"Bacon, Dwayne",8.5,"$3,500",cha,@ orl,120-88,7:57,7pt 1as 1trey 2-5fg 2-2ft,fd,5179x,2018-10-19,Dwayne,Bacon
SF,"Thomas, Lance^",8.4,"$3,700",nyk,@ bkn,105-107,21:05,0pt 2rb 2as 1st 0-4fg,fd,4384x,2018-10-19,Lance,Thomas
SF,"Bogdanovic, Bojan^",8,"$4,500",ind,@ mil,101-118,27:19,3pt 5rb 1to 0-7fg 3-4ft,fd,4709x,2018-10-19,Bojan,Bogdanovic
SF,"McKinnie, Alfonzo",7.4,"$3,500",gsw,@ uta,124-123,12:21,3pt 2rb 1st 1to 1trey 1-2fg,fd,5230x,2018-10-19,Alfonzo,McKinnie
PF,"Mbah a Moute, Luc",7.2,"$3,500",lac,v okc,108-92,19:00,7pt 1rb 1to 1trey 3-3fg,fd,4113x,2018-10-19,Luc,Mbah a Moute
SF,"Bjelica, Nemanja^",6.7,"$5,000",sac,@ nor,129-149,10:51,4pt 1rb 1as 2-5fg,fd,4875x,2018-10-19,Nemanja,Bjelica
SF,"Hill, Solomon",6.2,"$3,500",nor,v sac,149-129,20:21,3pt 1rb 2as 1to 1trey 1-2fg,fd,4566x,2018-10-19,Solomon,Hill
PF,"Johnson, Alize",5.6,"$3,500",ind,@ mil,101-118,4:14,2pt 3rb 1-2fg,fd,5764x,2018-10-19,Alize,Johnson
PF,"Diallo, Cheick",5.4,"$3,500",nor,v sac,149-129,4:09,4pt 2rb 1to 2-2fg,fd,4957x,2018-10-19,Cheick,Diallo
PF,"Labissiere, Skal",5.2,"$3,500",sac,@ nor,129-149,7:54,5pt 1rb 1to 1trey 2-4fg,fd,4979x,2018-10-19,Skal,Labissiere
SF,"Miles, C.J.",5,"$3,500",tor,v bos,113-101,12:17,2pt 1bl 1-6fg,fd,3783x,2018-10-19,C.J.,Miles
SF,"Hezonja, Mario",4.7,"$5,300",nyk,@ bkn,105-107,13:19,2pt 1rb 1as 1-3fg,fd,4776x,2018-10-19,Mario,Hezonja
PF,"Kaminsky, Frank",3.9,"$3,600",cha,@ orl,120-88,7:57,2pt 2rb 1as 2to 1-2fg,fd,4778x,2018-10-19,Frank,Kaminsky
PF,"Scott, Mike",3,"$3,500",lac,v okc,108-92,4:21,0pt 2as,fd,4488x,2018-10-19,Mike,Scott
PF,"Birch, Khem",1.2,"$3,600",orl,v cha,88-120,10:04,0pt 1rb 0-1fg,fd,4696x,2018-10-19,Khem,Birch
PF,"Wood, Christian",1.2,"$3,500",mil,v ind,118-101,5:48,1pt 1rb 1to 0-1fg 1-2ft,fd,4834x,2018-10-19,Christian,Wood
SF,"O'Neale, Royce",-2,"$3,500",uta,v gsw,123-124,10:52,0pt 2to,fd,5182x,2018-10-19,Royce,O'Neale
C,"Kanter, Enes^",47,"$7,500",nyk,@ bkn,105-107,35:20,29pt 10rb 2as 1st 12-18fg 5-5ft,fd,4442x,2018-10-19,Enes,Kanter
C,"Horford, Al^",42.5,"$6,700",bos,@ tor,101-113,33:26,14pt 10rb 9as 1st 1bl 3to 3trey 5-12fg 1-1ft,fd,3998x,2018-10-19,Al,Horford
C,"Adams, Steven^",41.6,"$7,400",okc,@ lac,92-108,33:19,17pt 18rb 1st 8-11fg 1-2ft,fd,4574x,2018-10-19,Steven,Adams
C,"Gobert, Rudy^",40.2,"$8,700",uta,v gsw,123-124,34:41,16pt 11rb 2as 3st 1bl 4to 4-6fg 8-11ft,fd,4620x,2018-10-19,Rudy,Gobert
C,"Allen, Jarrett^",38.2,"$6,800",bkn,v nyk,107-105,33:32,15pt 11rb 4bl 2to 6-8fg 3-4ft,fd,5139x,2018-10-19,Jarrett,Allen
C,"Vucevic, Nikola^",37.6,"$8,000",orl,v cha,88-120,22:23,12pt 8rb 4as 4bl 2to 6-11fg,fd,4373x,2018-10-19,Nikola,Vucevic
C,"Towns, Karl-Anthony^",33.8,"$10,100",min,v cle,131-123,34:41,12pt 9rb 2as 4bl 4to 2trey 4-10fg 2-2ft,fd,4879x,2018-10-19,Karl-Anthony,Towns
C,"Thompson, Tristan^",31,"$4,100",cle,@ min,123-131,35:56,14pt 10rb 2as 1bl 1to 7-9fg,fd,4380x,2018-10-19,Tristan,Thompson
C,"Cauley-Stein, Willie^",28.9,"$7,500",sac,@ nor,129-149,25:57,20pt 7rb 1as 1to 9-14fg 2-3ft,fd,4817x,2018-10-19,Willie,Cauley-Stein
C,"Randle, Julius",28.8,"$7,800",nor,v sac,149-129,24:25,13pt 14rb 1to 1trey 6-12fg 0-4ft,fd,4680x,2018-10-19,Julius,Randle
C,"Gasol, Marc^",26.9,"$8,300",mem,v atl,131-117,28:44,13pt 7rb 5as 2to 1trey 4-7fg 4-4ft,fd,3990x,2018-10-19,Marc,Gasol
C,"Zeller, Cody^",23.6,"$4,800",cha,@ orl,120-88,22:45,8pt 8rb 2as 1st 3-7fg 2-2ft,fd,4614x,2018-10-19,Cody,Zeller
C,"Plumlee, Miles",23.2,"$3,500",atl,@ mem,117-131,18:55,12pt 6rb 2as 1st 2to 5-6fg 2-6ft,fd,4542x,2018-10-19,Miles,Plumlee
C,"Jones, Damian^",22.3,"$4,600",gsw,@ uta,124-123,18:03,4pt 4rb 1as 2st 2bl 2-3fg,fd,4933x,2018-10-19,Damian,Jones
C,"Gortat, Marcin^",19.9,"$4,300",lac,v okc,108-92,20:28,4pt 12rb 1as 2-5fg 0-1ft,fd,3756x,2018-10-19,Marcin,Gortat
C,"Marjanovic, Boban",19,"$4,000",lac,v okc,108-92,16:05,13pt 5rb 4-6fg 5-7ft,fd,4893x,2018-10-19,Boban,Marjanovic
C,"Davis, Ed",18.5,"$3,700",bkn,v nyk,107-105,14:14,5pt 10rb 1as 2-3fg 1-2ft,fd,4276x,2018-10-19,Ed,Davis
C,"Dieng, Gorgui",18.3,"$4,200",min,v cle,131-123,13:19,11pt 4rb 1as 1bl 2to 1trey 5-6fg,fd,4632x,2018-10-19,Gorgui,Dieng
C,"Noel, Nerlens",18,"$4,000",okc,@ lac,92-108,14:41,9pt 5rb 1st 4-5fg 1-2ft,fd,4652x,2018-10-19,Nerlens,Noel
C,"Lopez, Brook^",17.6,"$5,600",mil,v ind,118-101,22:16,8pt 3rb 2as 1bl 2trey 3-10fg,fd,4075x,2018-10-19,Brook,Lopez
C,"Turner, Myles^",16.8,"$6,200",ind,@ mil,101-118,27:23,11pt 4rb 1bl 2to 5-12fg 1-1ft,fd,4781x,2018-10-19,Myles,Turner
C,"Hernangomez, Guillermo",16,"$4,600",cha,@ orl,120-88,17:18,6pt 5rb 2as 1st 2to 1trey 2-5fg 1-2ft,fd,4949x,2018-10-19,Guillermo,Hernangomez
C,"Len, Alex^",14.8,"$5,400",atl,@ mem,117-131,26:16,9pt 4rb 2as 2to 1trey 4-8fg,fd,4591x,2018-10-19,Alex,Len
C,"Baynes, Aron",14.2,"$3,500",bos,@ tor,101-113,14:34,5pt 6rb 1bl 1to 2-8fg 1-2ft,fd,4556x,2018-10-19,Aron,Baynes
C,"Bamba, Mohamed",11,"$4,800",orl,v cha,88-120,18:37,0pt 5rb 2as 1bl 1to 0-4fg,fd,5706x,2018-10-19,Mohamed,Bamba
C,"Okafor, Jahlil",8.1,"$3,500",nor,v sac,149-129,7:32,4pt 3rb 1as 1to 1-2fg 2-2ft,fd,4836x,2018-10-19,Jahlil,Okafor
C,"Valanciunas, Jonas",8,"$5,900",tor,v bos,113-101,14:28,4pt 5rb 2to 1-3fg 2-2ft,fd,4497x,2018-10-19,Jonas,Valanciunas
C,"O'Quinn, Kyle",6.7,"$3,500",ind,@ mil,101-118,4:14,4pt 1rb 1as 1-2fg 2-2ft,fd,4529x,2018-10-19,Kyle,O'Quinn
C,"Udoh, Ekpe",3.2,"$3,500",uta,v gsw,123-124,3:07,0pt 1rb 1bl 1to,fd,4354x,2018-10-19,Ekpe,Udoh
C,"Biyombo, Bismack",2,"$4,300",cha,@ orl,120-88,5:02,2pt 1-1fg,fd,4458x,2018-10-19,Bismack,Biyombo
PG,"Wall, John^",52.1,"$9,600",was,v mia,112-113,35:49,26pt 3rb 9as 1st 3bl 3to 1trey 9-16fg 7-10ft,fd,4321x,2018-10-18,John,Wall
PG,"Simmons, Ben^",51.1,"$11,000",phi,v chi,127-108,33:42,13pt 13rb 11as 1st 2bl 3to 5-8fg 3-3ft,fd,4925x,2018-10-18,Ben,Simmons
SG,"LaVine, Zach^",44.5,"$6,800",chi,@ phi,108-127,32:42,30pt 5rb 3as 3bl 5to 2trey 11-19fg 6-7ft,fd,4706x,2018-10-18,Zach,LaVine
PG,"Lillard, Damian^",44.2,"$9,900",por,v lal,128-119,35:24,28pt 6rb 4as 1st 1bl 3to 2trey 9-21fg 8-8ft,fd,4523x,2018-10-18,Damian,Lillard
SG,"McGruder, Rodney^",39.6,"$3,500",mia,@ was,113-112,34:08,20pt 8rb 6as 1bl 2to 3trey 7-12fg 3-3ft,fd,4650x,2018-10-18,Rodney,McGruder
SG,"Hart, Josh",39.3,"$4,200",lal,@ por,119-128,27:28,20pt 4rb 1as 3st 2bl 2to 3trey 8-12fg 1-3ft,fd,5238x,2018-10-18,Josh,Hart
PG,"Rondo, Rajon^",34.3,"$4,500",lal,@ por,119-128,31:45,13pt 4rb 11as 1st 3to 1trey 6-13fg,fd,3872x,2018-10-18,Rajon,Rondo
SG,"Stauskas, Nik",32.4,"$3,500",por,v lal,128-119,27:12,24pt 2rb 2as 1st 5trey 7-11fg 5-5ft,fd,4703x,2018-10-18,Nik,Stauskas
PG,"Dragic, Goran^",30.2,"$6,200",mia,@ was,113-112,31:15,8pt 6rb 8as 1st 1bl 3to 1trey 3-18fg 1-1ft,fd,4092x,2018-10-18,Goran,Dragic
SG,"Fultz, Markelle^",29.3,"$5,700",phi,v chi,127-108,32:08,12pt 4rb 5as 2st 1to 1trey 5-15fg 1-2ft,fd,5131x,2018-10-18,Markelle,Fultz
SG,"Wade, Dwyane",27.6,"$4,800",mia,@ was,113-112,26:25,9pt 8rb 4as 2st 3to 4-11fg 1-2ft,fd,3571x,2018-10-18,Dwyane,Wade
PG,"Shamet, Landry",27.3,"$3,500",phi,v chi,127-108,29:11,12pt 4rb 1as 2st 1bl 4trey 4-7fg,fd,5704x,2018-10-18,Landry,Shamet
SG,"McCollum, C.J.^",26.5,"$7,200",por,v lal,128-119,31:01,21pt 5rb 1as 2to 3trey 6-17fg 6-6ft,fd,4657x,2018-10-18,C.J.,McCollum
SG,"Beal, Bradley^",26.2,"$8,200",was,v mia,112-113,27:11,20pt 1rb 2as 1st 1to 2trey 7-16fg 4-6ft,fd,4494x,2018-10-18,Bradley,Beal
PG,"Arcidiacono, Ryan",24.8,"$3,500",chi,@ phi,108-127,28:16,8pt 4rb 8as 2trey 3-4fg,fd,4962x,2018-10-18,Ryan,Arcidiacono
SG,"Blakeney, Antonio",23,"$3,500",chi,@ phi,108-127,30:27,15pt 5rb 2as 1to 1trey 6-16fg 2-3ft,fd,5228x,2018-10-18,Antonio,Blakeney
SG,"Redick, J.J.",17.1,"$5,400",phi,v chi,127-108,24:06,10pt 3rb 1as 1st 1to 1trey 4-11fg 1-1ft,fd,3861x,2018-10-18,J.J.,Redick
SG,"Holiday, Justin^",16.3,"$4,500",chi,@ phi,108-127,27:23,10pt 4rb 1as 2trey 4-12fg,fd,4558x,2018-10-18,Justin,Holiday
PG,"Ball, Lonzo",15.3,"$6,600",lal,@ por,119-128,19:28,7pt 4rb 1as 1st 1to 1trey 2-7fg 2-2ft,fd,5215x,2018-10-18,Lonzo,Ball
SG,"Rivers, Austin",15,"$4,000",was,v mia,112-113,25:00,9pt 2as 1bl 4-7fg 1-2ft,fd,4483x,2018-10-18,Austin,Rivers
PG,"Satoransky, Tomas",14.1,"$3,500",was,v mia,112-113,14:06,4pt 3rb 3as 1bl 1to 1-2fg 2-2ft,fd,4980x,2018-10-18,Tomas,Satoransky
PG,"Johnson, Tyler",13.7,"$3,800",mia,@ was,113-112,24:28,9pt 1rb 1as 1st 1to 1trey 3-9fg 2-2ft,fd,4756x,2018-10-18,Tyler,Johnson
PG,"Payne, Cameron^",10.7,"$4,000",chi,@ phi,108-127,21:34,0pt 1rb 5as 1st 1to 0-4fg,fd,4882x,2018-10-18,Cameron,Payne
PG,"Curry, Seth",10,"$3,900",por,v lal,128-119,15:34,5pt 5rb 1to 1trey 2-6fg,fd,4564x,2018-10-18,Seth,Curry
PG,"McConnell, T.J.",8.5,"$3,600",phi,v chi,127-108,4:51,4pt 3as 1-1fg 2-2ft,fd,4831x,2018-10-18,T.J.,McConnell
SG,"Caldwell-Pope, Kentavious^",7.4,"$5,000",lal,@ por,119-128,27:18,5pt 2rb 1trey 1-3fg 2-2ft,fd,4616x,2018-10-18,Kentavious,Caldwell-Pope
SG,"Korkmaz, Furkan",1.2,"$3,500",phi,v chi,127-108,7:45,0pt 1rb 0-1fg,fd,5157x,2018-10-18,Furkan,Korkmaz
SG,"McRae, Jordan",0,"$3,500",was,v mia,112-113,00:11,0pt,fd,4832x,2018-10-18,Jordan,McRae
PG,"Ulis, Tyler",0,"$3,500",chi,@ phi,108-127,00:49,0pt,fd,4950x,2018-10-18,Tyler,Ulis
SF,"James, LeBron^",46.4,"$11,700",lal,@ por,119-128,37:20,26pt 12rb 6as 1st 6to 9-16fg 8-9ft,fd,3541x,2018-10-18,LeBron,James
SF,"Richardson, Josh^",44.3,"$6,900",mia,@ was,113-112,38:25,28pt 4rb 5as 1st 1bl 2to 5trey 8-21fg 7-8ft,fd,4788x,2018-10-18,Josh,Richardson
PF,"Portis, Bobby^",42.2,"$5,700",chi,@ phi,108-127,33:06,20pt 11rb 2as 1st 1bl 3trey 8-15fg 1-2ft,fd,4841x,2018-10-18,Bobby,Portis
SF,"Porter, Otto^",40.2,"$6,400",was,v mia,112-113,33:37,9pt 11rb 3st 3bl 3-7fg 3-4ft,fd,4653x,2018-10-18,Otto,Porter
SF,"Covington, Robert^",36,"$6,700",phi,v chi,127-108,29:08,20pt 5rb 2as 2st 1bl 2to 4trey 6-14fg 4-4ft,fd,4570x,2018-10-18,Robert,Covington
PF,"Ingram, Brandon^",33.3,"$6,800",lal,@ por,119-128,27:35,16pt 4rb 1as 2st 2bl 1to 7-15fg 2-4ft,fd,4965x,2018-10-18,Brandon,Ingram
PF,"Collins, Zach",33.2,"$3,800",por,v lal,128-119,26:19,6pt 6rb 2as 6bl 1to 3-4fg,fd,5155x,2018-10-18,Zach,Collins
SF,"Green, Jeff",30.3,"$3,600",was,v mia,112-113,32:30,17pt 4rb 1as 1st 2bl 2to 2trey 6-12fg 3-3ft,fd,3992x,2018-10-18,Jeff,Green
PF,"Saric, Dario^",29.5,"$5,900",phi,v chi,127-108,28:20,13pt 10rb 3as 1st 3to 2trey 4-12fg 3-3ft,fd,4904x,2018-10-18,Dario,Saric
SF,"Turner, Evan",28.6,"$4,100",por,v lal,128-119,21:13,13pt 3rb 6as 2st 3to 5-8fg 3-4ft,fd,4318x,2018-10-18,Evan,Turner
SF,"Jones, Derrick^",26,"$3,500",mia,@ was,113-112,23:51,17pt 5rb 1st 1trey 5-10fg 6-9ft,fd,4941x,2018-10-18,Derrick,Jones
SF,"Harkless, Maurice",25.2,"$4,700",por,v lal,128-119,18:26,7pt 6rb 2as 3bl 1to 1trey 3-5fg,fd,4530x,2018-10-18,Maurice,Harkless
SF,"Parker, Jabari",23.5,"$6,200",chi,@ phi,108-127,25:12,15pt 5rb 1as 1st 2to 1trey 7-16fg,fd,4728x,2018-10-18,Jabari,Parker
PF,"Kuzma, Kyle",23,"$6,000",lal,@ por,119-128,28:54,15pt 5rb 1st 1to 1trey 5-15fg 4-5ft,fd,5216x,2018-10-18,Kyle,Kuzma
PF,"Morris, Markieff^",23,"$5,000",was,v mia,112-113,24:50,11pt 5rb 2as 2bl 3to 2trey 3-8fg 3-4ft,fd,4453x,2018-10-18,Markieff,Morris
PF,"Olynyk, Kelly",18.3,"$6,100",mia,@ was,113-112,15:22,9pt 4rb 1as 1bl 1trey 4-6fg,fd,4583x,2018-10-18,Kelly,Olynyk
SF,"Oubre, Kelly",18.2,"$4,600",was,v mia,112-113,20:14,9pt 6rb 1bl 1to 2-8fg 5-6ft,fd,4828x,2018-10-18,Kelly,Oubre
PF,"Carter Jr., Wendell^",18.1,"$5,300",chi,@ phi,108-127,19:59,8pt 3rb 3as 1bl 1to 4-10fg,fd,5685x,2018-10-18,Wendell,Carter Jr.
PF,"Johnson, Amir",17.1,"$3,600",phi,v chi,127-108,15:09,13pt 3rb 1as 1to 6-9fg 1-1ft,fd,3768x,2018-10-18,Amir,Johnson
PF,"Aminu, Al-Farouq^",14.2,"$5,600",por,v lal,128-119,26:58,5pt 6rb 1st 1to 1-10fg 3-4ft,fd,4261x,2018-10-18,Al-Farouq,Aminu
PF,"Smith, Jason",9.2,"$3,500",was,v mia,112-113,14:54,4pt 6rb 2to 2-3fg,fd,4023x,2018-10-18,Jason,Smith
SF,"Stephenson, Lance",8.4,"$4,000",lal,@ por,119-128,16:19,4pt 2rb 2as 1to 2-6fg,fd,4316x,2018-10-18,Lance,Stephenson
SF,"Layman, Jake^",7.4,"$3,700",por,v lal,128-119,12:40,3pt 2rb 1st 1to 1trey 1-4fg,fd,4997x,2018-10-18,Jake,Layman
SF,"Beasley, Michael",1.2,"$4,400",lal,@ por,119-128,2:18,0pt 1rb,fd,4071x,2018-10-18,Michael,Beasley
PF,"Bolden, Jonah",0,"$3,500",phi,v chi,127-108,2:49,0pt 0-1fg,fd,5255x,2018-10-18,Jonah,Bolden
SF,"Hutchison, Chandler",0,"$3,800",chi,@ phi,108-127,2:49,0pt 0-1fg,fd,5686x,2018-10-18,Chandler,Hutchison
C,"Embiid, Joel^",61.9,"$10,800",phi,v chi,127-108,32:51,30pt 12rb 3as 1st 4bl 2to 9-14fg 12-14ft,fd,4762x,2018-10-18,Joel,Embiid
C,"McGee, JaVale^",36.1,"$4,500",lal,@ por,119-128,21:35,13pt 8rb 1as 1st 3bl 5-6fg 3-4ft,fd,4114x,2018-10-18,JaVale,McGee
C,"Nurkic, Jusuf^",30.8,"$7,800",por,v lal,128-119,17:11,16pt 9rb 2st 2to 7-14fg 2-2ft,fd,4681x,2018-10-18,Jusuf,Nurkic
C,"Whiteside, Hassan^",22,"$7,500",mia,@ was,113-112,28:59,9pt 10rb 1bl 2to 3-6fg 3-5ft,fd,4324x,2018-10-18,Hassan,Whiteside
C,"Leonard, Meyers",12.8,"$3,700",por,v lal,128-119,8:02,0pt 4rb 4as 1st 1to,fd,4521x,2018-10-18,Meyers,Leonard
C,"Mahinmi, Ian^",12.2,"$3,500",was,v mia,112-113,11:38,3pt 1rb 1st 2bl 1to 1-2fg 1-2ft,fd,3777x,2018-10-18,Ian,Mahinmi
C,"Adebayo, Bam",11.8,"$4,300",mia,@ was,113-112,17:07,4pt 9rb 3to 1-4fg 2-4ft,fd,5159x,2018-10-18,Bam,Adebayo
C,"Lopez, Robin",11.7,"$4,400",chi,@ phi,108-127,17:43,2pt 1rb 3as 1st 1bl 2to 1-4fg,fd,4112x,2018-10-18,Robin,Lopez
PG,"Walker, Kemba^",52.4,"$8,300",cha,v mil,112-113,38:39,41pt 2rb 4as 2st 3to 7trey 15-29fg 4-5ft,fd,4440x,2018-10-17,Kemba,Walker
SG,"Harden, James^",51.8,"$11,700",hou,v nor,112-131,34:43,18pt 9rb 10as 3st 1bl 4to 3trey 6-15fg 3-4ft,fd,4224x,2018-10-17,James,Harden
SG,"Hardaway Jr., Tim^",51.7,"$6,300",nyk,v atl,126-107,28:51,31pt 6rb 5as 2st 3trey 10-22fg 8-8ft,fd,4628x,2018-10-17,Tim,Hardaway Jr.
SG,"Butler, Jimmy^",49.9,"$9,400",min,@ sas,108-112,31:36,23pt 7rb 3as 4st 1bl 1to 1trey 9-23fg 4-5ft,fd,4363x,2018-10-17,Jimmy,Butler
SG,"Booker, Devin^",47.3,"$8,200",pho,v dal,121-100,33:27,35pt 4rb 7as 3to 6trey 12-19fg 5-6ft,fd,4885x,2018-10-17,Devin,Booker
PG,"Lowry, Kyle^",43.2,"$8,100",tor,v cle,116-104,35:35,27pt 1rb 8as 1st 1bl 3to 5trey 10-12fg 2-3ft,fd,3891x,2018-10-17,Kyle,Lowry
